iter	Passed	Remaining
755	3466	1118
756	3473	1115
757	3477	1110
758	3481	1105
759	3486	1100
760	3490	1096
761	3494	1091
762	3497	1086
763	3503	1082
764	3507	1077
765	3513	1073
766	3522	1070
767	3527	1065
768	3534	1061
769	3538	1056
770	3541	1051
771	3546	1047
772	3551	1042
773	3554	1037
774	3558	1033
775	3561	1028
776	3566	1023
777	3570	1018
778	3574	1013
779	3579	1009
780	3583	1004
781	3586	999
782	3590	994
783	3594	990
784	3598	985
785	3601	980
786	3605	975
787	3609	971
788	3613	966
789	3618	961
790	3621	956
791	3628	952
792	3632	948
793	3635	943
794	3639	938
795	3644	933
796	3647	929
797	3650	924
798	3654	919
799	3658	914
800	3662	909
801	3666	905
802	3669	900
803	3673	895
804	3677	890
805	3680	885
806	3684	881
807	3688	876
808	3692	871
809	3695	866
810	3698	861
811	3702	857
812	3706	852
813	3709	847
814	3712	842
815	3716	837
816	3720	833
817	3723	828
818	3727	823
819	3731	819
820	3736	814
821	3739	809
822	3742	804
823	3745	800
824	3751	795
825	3754	790
826	3758	786
827	3761	781
828	3766	776
829	3769	772
830	3772	767
831	3776	762
832	3780	757
833	3784	753
834	3787	748
835	3790	743
836	3794	738
837	3798	734
838	3802	729
839	3805	724
840	3809	720
841	3813	715
842	3816	710
843	3820	706
844	3824	701
845	3829	697
846	3833	692
847	3836	687
848	3839	682
849	3844	678
850	3848	673
851	3851	669
852	3854	664
853	3858	659
854	3862	655
855	3865	650
856	3869	645
857	3872	640
858	3877	636
859	3880	631
860	3883	626
861	3886	622
862	3891	617
863	3895	613
864	3900	608
865	3912	605
866	3917	600
867	3924	596
868	3927	592
869	3930	587
870	3933	582
871	3939	578
872	3943	573
873	3946	568
874	3949	564
875	3953	559
876	3957	555
877	3960	550
878	3964	545
879	3967	541
880	3972	536
881	3975	531
882	3978	527
883	3982	522
884	3987	518
885	3990	513
886	3993	508
887	3997	504
888	4001	499
889	4005	495
890	4008	490
891	4011	485
892	4015	481
893	4019	476
894	4023	472
895	4027	467
896	4032	463
897	4036	458
898	4039	453
899	4043	449
900	4047	444
901	4051	440
902	4055	435
903	4058	430
904	4062	426
