iter	Passed	Remaining
922	3012	251
923	3015	248
924	3019	244
925	3023	241
926	3026	238
927	3029	235
928	3032	231
929	3035	228
930	3038	225
931	3041	221
932	3044	218
933	3048	215
934	3051	212
935	3054	208
936	3057	205
937	3060	202
938	3063	198
939	3066	195
940	3069	192
941	3072	189
942	3075	185
943	3078	182
944	3081	179
945	3084	176
946	3087	172
947	3090	169
948	3093	166
949	3096	162
950	3099	159
951	3102	156
952	3106	153
953	3109	149
954	3112	146
955	3115	143
956	3118	140
957	3122	136
958	3125	133
959	3128	130
960	3131	127
961	3134	123
962	3137	120
963	3140	117
964	3144	114
965	3147	110
966	3150	107
967	3154	104
968	3157	101
969	3160	97
970	3163	94
971	3166	91
972	3169	87
973	3172	84
974	3176	81
975	3179	78
976	3182	74
977	3185	71
978	3188	68
979	3191	65
980	3195	61
981	3198	58
982	3201	55
983	3204	52
984	3207	48
985	3210	45
986	3213	42
987	3216	39
988	3219	35
989	3222	32
990	3225	29
991	3229	26
992	3232	22
993	3235	19
994	3238	16
995	3241	13
996	3245	9
997	3248	6
998	3251	3
999	3254	0
