ct_depth,ct_pressure,n2_rate,p_gauge
8168.34668,1936.044705,406.9547653,2274.7406
8222.02832,1947.770399,372.1288204,2295.6394
8275.745117,1958.518229,372.1288204,2316.1614
8325.180664,1965.35829,372.1288204,2336.3542
8376.436523,1981.968967,406.9547653,2356.8434
8427.782227,1995.648655,372.1288204,2377.8017
8479.206055,2009.327908,372.1288204,2399.2303
8530.583984,2021.053602,372.1288204,2420.4261
8582.237305,2033.755642,406.9547653,2441.949
8633.789063,2045.48112,372.1288204,2463.5171
8685.448242,2059.160807,406.9547653,2484.9481
8737.166992,2066.977214,406.9547653,2506.3535
8788.800781,2082.611111,372.1288204,2527.5399
8840.682617,2093.359592,406.9547653,2548.576
8892.612305,2105.084635,372.1288204,2569.6911
8944.591797,2119.741536,372.1288204,2590.6735
8996.711914,2130.489583,406.9547653,2611.2509
9048.804688,2147.10026,372.1288204,2632.1471
9100.939453,2158.825955,372.1288204,2652.7899
9152.986328,2172.505208,406.9547653,2673.5078
9205.131836,2184.230686,372.1288204,2693.9668
9257.351563,2194.978733,372.1288204,2713.974
9309.355469,2211.589627,372.1288204,2733.8498
9361.537109,2225.269314,372.1288204,2753.5001
9413.90625,2238.949002,372.1288204,2773.1257
9466.169922,2253.605252,372.1288204,2792.4603
9518.554688,2270.21658,406.9547653,2811.4855
9570.017578,2279.010417,406.9547653,2830.0951
9622.467773,2290.735677,372.1288204,2848.6975
9674.816406,2305.392361,372.1288204,2866.8075
9728.092773,2319.072049,372.1288204,2884.4353
9779.550781,2325.911458,406.9547653,2901.1484
9832.089844,2338.613932,372.1288204,2917.8135
9884.700195,2348.384983,406.9547653,2934.2075
9937.318359,2359.13303,372.1288204,2950.6846
9990.118164,2367.927517,372.1288204,2967.5892
10028.99414,2377.698568,372.1288204,2971.9223
10020.18359,2383.560764,372.1288204,2964.7689
10004.9668,2391.377604,372.1288204,2964.6774
10020.00781,2396.263455,372.1288204,2975.3246
10056.4248,2399.194661,372.1288204,2988.7301
10092.65332,2406.034505,406.9547653,3001.9525
10129.85254,2412.874349,372.1288204,3015.1238
10172.1416,2413.851345,372.1288204,3031.573
10220.78613,2423.622396,372.1288204,3048.6497
10269.73145,2429.485026,372.1288204,3065.4188
10318.56641,2437.302083,372.1288204,3082.1819
10367.22461,2443.164714,372.1288204,3098.8185
10415.93359,2450.981771,372.1288204,3115.476
10464.82227,2461.729601,372.1288204,3132.063
10513.55859,2468.569661,372.1288204,3148.507
10562.39551,2477.363498,372.1288204,3165.0572
10611.59961,2488.111545,372.1288204,3181.6911
10660.81641,2497.88303,372.1288204,3198.2186
10710.14355,2507.65408,372.1288204,3214.9147
10759.56348,2516.447917,372.1288204,3231.465
10808.92871,2527.195964,372.1288204,3247.9541
10858.36621,2535.012804,372.1288204,3264.5574
10907.85547,2540.875651,372.1288204,3281.0973
10957.28516,2551.623698,406.9547653,3297.6362
11006.77148,2561.394748,372.1288204,3313.8897
11056.21094,2570.188802,372.1288204,3330.1745
11105.83398,2578.005642,372.1288204,3346.5619
11155.63574,2585.822483,372.1288204,3362.8143
11205.50293,2596.570964,372.1288204,3379.1258
11255.39063,2605.365017,372.1288204,3395.4218
11305.24609,2615.136068,372.1288204,3411.6864
11355.06738,2622.952908,372.1288204,3427.9664
11404.86328,2632.723958,372.1288204,3444.1304
11454.47363,2641.517795,372.1288204,3460.338
11504.3418,2649.334635,372.1288204,3476.5979
11554.47363,2659.105686,372.1288204,3492.7984
11604.51172,2667.900174,406.9547653,3509.0502
11654.39063,2678.64822,372.1288204,3525.224
11694.94434,2687.442057,372.1288204,3531.5385
11694.43066,2697.213108,372.1288204,3529.7802
11684.7793,2699.167101,372.1288204,3529.482
11682.20898,2703.075955,372.1288204,3531.2296
11683.80078,2710.892795,372.1288204,3532.468
11683.80078,2711.869792,372.1288204,3533.6536
11683.80078,2717.732639,372.1288204,3535.036
11683.80078,2719.686849,372.1288204,3536.5302
11683.80078,2723.595052,372.1288204,3538.1832
11683.7998,2724.572483,372.1288204,3540.0371
11683.80078,2725.549696,372.1288204,3541.9287
11683.80078,2729.457899,372.1288204,3543.8226
11683.80078,2730.434896,336.911602,3545.8151
11683.80078,2733.366536,372.1288204,3547.6858
11683.80078,2735.32053,372.1288204,3548.4553
11683.80078,2737.27474,372.1288204,3549.0495
11683.80078,2743.137587,372.1288204,3549.4411
11683.80078,2740.205729,372.1288204,3549.7036
11683.80078,2744.114583,372.1288204,3550.508
11683.80078,2748.022786,372.1288204,3551.1295
11683.80078,2746.068576,406.9547653,3551.3757
11683.80078,2751.931424,372.1288204,3551.2454
11683.80078,2753.885417,372.1288204,3550.7227
11683.80078,2752.90842,372.1288204,3549.7077
11683.80078,2755.839627,372.1288204,3548.1533
11683.80078,2754.862413,372.1288204,3546.0424
11683.80078,2756.817057,406.9547653,3543.4456
11683.80078,2756.817057,372.1288204,3540.2087
11683.80078,2755.839627,372.1288204,3536.3079
