ct_depth,ct_pressure,n2_rate,p_gauge
11811.69727,1383.000651,405.3895569,1609.327
11573.2373,2632.723958,372.1288204,3356.9254
11573.23242,2619.044705,372.1288204,3336.0547
11655.12793,2711.869792,372.1288204,3459.797
11654.16016,2593.639323,372.1288204,3260.3721
10307.69043,2478.926866,457.0415211,3141.08
11540.00684,2614.158854,372.1288204,3334.514
11636.38379,2643.472439,336.911602,3379.2249
12783.43262,3362.33724,417.1286488,4379.798
11654.5752,2672.785373,372.1288204,3418.1007
12696.75,2083.430339,417.1286488,2675.8577
11380.84668,2428.117187,408.9112759,3152.944
11540.04199,2606.342014,372.1288204,3330.3462
12696.75,1983.181424,441.3894081,2545.5631
11750.30664,1086.936849,405.3895569,1283.324
11521.50781,2608.296007,406.9547653,3323.3874
11540.04297,2606.342014,372.1288204,3330.4779
11395.13184,2494.560547,408.9112759,3229.117
12783.43262,3422.681424,417.1286488,4480.213
11573.23472,2613.181858,406.9547653,3338.3607
12783.43262,3404.188802,417.1286488,4449.4655
11750.30859,1159.242947,405.3895569,1399.501
11654.58398,2684.511068,372.1288204,3419.0875
11573.2373,2615.136068,372.1288204,3353.4069
11371.06641,2399.78125,432.7807331,3127.32
11621.54688,2635.655599,372.1288204,3368.1882
11521.58398,2609.27322,406.9547653,3323.4799
11636.38379,2647.380642,372.1288204,3379.1818
11621.54688,2641.517795,406.9547653,3366.9928
11654.63965,2679.625217,372.1288204,3416.8693
11636.38574,2652.266493,372.1288204,3384.8822
12684.18164,1969.555339,613.1712914,2350.4557
12783.24707,2070.777561,417.1286488,4058.3014
6355.215332,1542.269748,372.1288204,1589.6366
11621.54883,2647.380642,406.9547653,3379.2355
11540.04492,2616.113064,406.9547653,3331.3826
11540.00684,2615.136068,372.1288204,3333.4939
11621.54883,2643.472439,372.1288204,3375.2115
11811.69629,1549.109592,442.1720123,1782.591
11655.12988,2698.190104,372.1288204,3448.6236
11621.54688,2655.197483,372.1288204,3376.0628
11573.2373,2626.861111,372.1288204,3349.91
11779.63086,1217.869358,442.1720123,1467.505
11683.7998,2666.922526,372.1288204,3331.1592
11621.54688,2638.586806,372.1288204,3369.4337
11621.54688,2636.632595,372.1288204,3369.2268
11654.5918,2689.396267,406.9547653,3419.2443
11573.23633,2634.677951,406.9547653,3355.0802
11654.54785,2646.403646,372.1288204,3371.9932
12942.51074,1143.229709,417.1286488,4153.6217
11654.74121,2687.442057,372.1288204,3423.131
11380.86035,2431.048828,432.7807331,3158.767
12696.75,2036.712674,392.4765587,2621.6458
11353.3584,2277.642578,529.0411949,3455.383
11636.38379,2652.266493,372.1288204,3377.4942
11654.74414,2673.762587,372.1288204,3413.7031
11750.35547,1139.700412,442.1720123,1363.346
11654.57324,2680.602214,372.1288204,3418.3011
11654.55859,2652.266493,372.1288204,3367.4806
11654.16016,2602.433377,406.9547653,3262.299
